employer_id,employer
1,KAMAZ DIGITAL
2,VK
3,КВАРТА ВК
4,Иви
5,Рокетбанк
6,BND LLC
7,Открытые решения
8,IT-Implant
9,YLAB Development
10,ИК СИБИНТЕК
11,КИТТ
12,МойОфис
13,GlowByte
14,РСТЕХ
15,Сравни
16,RedLab
17,Saber Interactive
18,БПС Инновационные Программные Решения
19,Outlines Technologies
20,Купер
21,Крокодил
22,Центр финансовых технологий
23,ИТ-Элемент29
24,Вебзайм
25,Контур
26,АФЛТ-Системс
27,ОТР
28,Trafficsoft
29,Topface Media
30,Компания «Кронштадт»
31,Газпромбанк
32,Р-Софт
33,Mediascope
34,Севентек
35,TravelLine
36,МТС
37,Продамус
38,Axmor
39,Системная Интеграция
40,SKAI
41,Your CodeReview
42,Новосибирскэнергосбыт
43,Лаборатория Наносемантика
44,Lamoda Tech
45,KiteGroup
46,Солантек
47,CloudPayments
48,Rambler&Co
49,Деньги Вперед
50,Инвейдерс
51,DM Solutions
52,Клауд Ком
53,Инфосистемы Джет
54,ITGLOBAL.COM
55,Ай Девелоп Ит
56,IVA Technologies
57,Ред Софт
58,KTS
59,Арго студио
60,Ventra
61,M1
62,Navio (ООО Автотех)
63,«Баланс-Платформа»
64,Ситидрайв
65,ITFB Group
66,AnyClass
67,HolyCode
68,TKV Group
69,Бэнкс Софт Системс
70,Динамика
71,Altenar
72,Dex
73,ФГБУ ГИВЦ Минкультуры России
74,VDcom
75,Синхро
76,IDF Eurasia
77,ICL Services
78,Авито
79,ИТРУМ
80,Островок
81,1001 LABS
82,Bell Integrator
83,Интеллектуальные Системы Управления
84,Нмаркет.ПРО
85,Атомдата-Интеграция
86,TeamLead
87,Skyeng
88,X5
89,Нетология
90,МВС ГРУП
91,Digital Design
92,ЕМЕ
93,Kokoc Group
94,Robusta
95,Девелоника
96,Такском
97,Спортмастер
98,Цифровые привычки
99,SkillStaff
100,Интерфакс
101,Леон
102,Utop!a
103,Точка Банк
104,Национальная Страховая Информационная Система
105,Ак Барс Цифровые Технологии
106,Лига Цифровой Экономики
107,Р-Вижн
108,ГК ПРОМО
109,Novabev Group
110,Nexign (АО Нэксайн)
111,Текора
112,TokenSpot
113,Clickavia
114,БАЗИС
115,Синимекс
116,Диджитал Лайн
117,МегаФон
118,i-Digital
119,Voximplant
120,Ртк-Элемент
121,Самокат (ООО Умный ритейл)
122,Туту
123,Бриф
124,BetBoom
125,Quadcode
126,ДЕКА
127,Программный Продукт ИТ-компания
128,РТК-СОФТ
129,CoIT
130,Система Бронирования
131,Oil and Gas Production Tools
