id,name,salary_from,salary_to,currency,date,key_skills,city_id,employer_id,exp_id,fmt_id,grade_id,role_id
126817560,Бизнес-аналитик,135000.0,180000.0,RUR,2025-10-22,"Бизнес-анализ,BPMN,SQL,Анализ бизнес-процессов,UML",1,1,1,1,1,1
126825698,Аналитик,110000.0,250000.0,RUR,2025-10-22,"SQL,Python,Power BI,Анализ данных,PostgreSQL",1,2,1,2,1,2
126819384,Системный аналитик,130000.0,245000.0,RUR,2025-10-22,"Системный анализ,Разработка информационных систем,Кадровый учёт",1,3,2,3,2,3
126836677,Аналитик,110000.0,250000.0,RUR,2025-10-22,"SQL,Python,Power BI,Анализ данных,PostgreSQL",1,4,2,2,2,2
126826098,Бизнес-аналитик,135000.0,180000.0,RUR,2025-10-22,"Бизнес-анализ,BPMN,SQL,Анализ бизнес-процессов,UML",2,5,2,2,2,1
126718438,ML-разработчик,220000.0,100000.0,RUR,2025-10-20,"Computer Vision,Python,OpenCV,NamPy,pandas,ML,SQL,TensorPT",1,6,3,2,3,4
126814509,Системный аналитик,110000.0,200000.0,RUR,2025-10-22,"UML,BPMN,Постановка задач разработчикам,Работа с базами данных,SQL,Системный анализ",3,7,1,4,1,5
126791318,Аналитик,110000.0,250000.0,RUR,2025-10-21,"SQL,Python,Power BI,Анализ данных,PostgreSQL",1,8,4,4,4,2
126759958,Системный аналитик,250000.0,350000.0,RUR,2025-10-21,"REST,SQL,BPMN,PostgreSQL",1,9,1,4,1,3
126831061,Аналитик,110000.0,250000.0,RUR,2025-10-22,"SQL,VBA,Python,CSS,JavaScript,HTML",1,10,3,2,3,2
126502039,Системный аналитик,140000.0,225000.0,RUR,2025-10-14,"Бизнес-анализ,Системный анализ,Деловая коммуникация,Постановка задач разработчикам,Системный подход,SCADA,Навыки презентации,Аналитика,ЕСКД,Full-stack,User Story,Figma,Use case,SQL,Анализ бизнес-процессов,UML,BPMN,Описание бизнес-процессов,Разработка технических заданий,Разработка функциональных требований",1,11,1,4,1,6
126732165,Бизнес-аналитик,135000.0,180000.0,RUR,2025-10-20,"Бизнес-анализ,SQL,Аналитическое мышление,Анализ бизнес-процессов,Анализ требований",1,12,1,2,1,1
124536619,Аналитик,110000.0,200000.0,RUR,2025-09-26,"SQL,аналитика",1,13,3,3,3,5
